Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
138;Karl Künzel;Produzent;3;43;4;0.404234;0.434734;593.129353;0.397917;32;;
139;Gottfried Ritter;Schnitt;3;39;4;0.380974;0.411896;824.890067;0.265393;33;;
140;Herbert Windt;Musik;3;45;3;0.398157;0.430166;1374.884037;0.363545;38;;
142;Hermann Speelmans;Darsteller;3;40;4;0.400488;0.433415;2345.907983;0.386043;38;;
143;Fred Sauer;Regie;3;28;4;0.386353;0.412607;101.329803;0.240907;20;;
144;Friedel Buckow;Schnitt;3;43;4;0.410911;0.44326;1187.614993;0.473156;37;;
145;Hermann Warm;Bauten;3;43;4;0.402846;0.433516;411.228514;0.416672;32;;
146;Hilde Hildebrand;Darsteller;3;44;3;0.423196;0.455339;1371.006338;0.51504;39;;
147;Georg Jacoby;Regie;3;39;3;0.422542;0.451888;1648.607142;0.417157;32;;
907;Walter Röhrig;Bauten/Regie/Drehbuch;6;80;4;0.405032;0.439302;1828.363764;0.365847;41;;
149;Georg C. Klaren;Drehbuch;3;37;4;0.380974;0.411592;1876.449348;0.236873;29;;
150;Jenny Jugo;Darsteller;3;43;4;0.402057;0.432907;844.615341;0.388261;33;;
151;Fritz Genschow;Darsteller;3;38;4;0.424728;0.454527;784.354192;0.463903;32;;
152;Gabriel Pellon;Bauten;3;35;4;0.390952;0.423467;976.484068;0.303367;34;;
154;Isa Miranda;Darsteller;3;37;4;0.366191;0.394539;1414.351504;0.22972;29;;
155;Joseph Dalmann;Drehbuch;3;42;4;0.380445;0.41149;1531.241971;0.325553;36;;
156;Franz Weber;Darsteller;3;38;4;0.412563;0.445087;946.321138;0.415796;35;;
157;Gerhard Menzel;Drehbuch;3;37;4;0.368161;0.397178;431.588682;0.223322;28;;
158;Gina Falckenberg;Darsteller;3;33;4;0.407444;0.438185;1277.403497;0.373646;32;;
159;Karl Dannemann;Darsteller;3;41;4;0.4105;0.442651;1179.048339;0.446543;36;;
160;Karl Attenberger;Kamera;3;42;4;0.386535;0.417073;737.495161;0.29213;34;;
161;Heli Finkenzeller;Darsteller;3;38;4;0.40704;0.439403;887.801728;0.460242;36;;
162;Henri Garat;Darsteller;3;35;4;0.361993;0.393423;1525.487094;0.245129;32;;
163;Franz Koehn;Bauten;3;40;4;0.388915;0.420828;880.09182;0.324262;35;;
165;Franz R. Friedl;Musik;3;43;4;0.415486;0.448741;983.119731;0.499499;37;;
166;Gertrud Boll;Darsteller;3;37;4;0.40186;0.435343;1253.847318;0.385479;35;;
167;K. J. Fritzsche;Produzent;3;41;3;0.422542;0.455136;1507.617978;0.535573;40;;
168;Franz Schafheitlin;Darsteller;3;39;4;0.393954;0.426208;1387.126124;0.386166;35;;
169;Franz Schroedter;Bauten;3;41;4;0.375229;0.402964;474.578109;0.233469;29;;
170;Jürgen von Alten;Regie/Drehbuch;3;34;4;0.378167;0.404791;293.375519;0.22075;22;;
171;Franz Vogel;Produzent;3;39;4;0.382751;0.409562;117.196353;0.292391;23;;
172;Franz W. Schröder-Schrom;Darsteller;3;41;4;0.399125;0.433922;3703.182313;0.326974;40;;
173;Giuseppe Becce;Musik;3;39;4;0.386899;0.418595;1337.322035;0.281057;33;;
896;August Kern;Drehbuch/Regie;2;16;4;0.331985;0.349675;0;0.057799;8;;
175;Paul Wegener;Regie;3;40;4;0.408661;0.44123;1539.82255;0.420993;37;;
176;Anton Pointner;Darsteller;3;41;4;0.394712;0.426817;1181.535748;0.345853;37;;
177;Werner Brandes;Kamera;3;41;4;0.404234;0.436561;1027.561877;0.391215;34;;
178;Alwin Elling;Regie;3;25;4;0.377298;0.403674;526.289971;0.23082;23;;
