Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
1457,L. Rodenwald,Darsteller,1,10,7,0.314831,0.33435,0,0.040608,10
1677,Josef Karma,Darsteller/Drehbuch/Regie,3,6,8,0.24983,0.259348,0,0.002624,2
1459,Leo Pasetti,Bauten,1,8,6,0.258036,0.271137,0,0.008954,8
1460,Leonore Oppermann,Darsteller,1,6,6,0.275455,0.287486,0,0.007108,5
1461,Leopold Gadiel,Darsteller,1,9,9,0.198326,0.206165,0,0.002917,6
1462,Leopold Jessner,Regie,1,11,6,0.314157,0.33162,0,0.056235,9
1463,Lo Bergner,Drehbuch,1,8,6,0.322999,0.339936,0,0.03689,8
1464,Lia Fein,Darsteller,1,9,7,0.269097,0.283011,0,0.008252,7
1465,Lias Bräutigam,Darsteller,1,8,7,0.315101,0.332024,0,0.038661,8
1466,Liesl Stillmark,Darsteller,1,9,7,0.312886,0.33174,0,0.042976,8
1467,Lili Dominici,Darsteller,1,2,6,0.276961,0.288518,0,0.006216,2
1468,Lilly Breda,Darsteller,1,6,6,0.304267,0.318754,0,0.022611,6
1469,Lina Hofschaffer,Darsteller,1,9,7,0.275145,0.289875,0,0.010003,8
1470,Lina Lossen,Darsteller,1,12,7,0.322999,0.344538,0,0.081336,11
1471,Lisa Honroth-Loewe,Drehbuch,1,10,6,0.303262,0.318924,0,0.023603,10
1472,Lisa Kresse,Darsteller,1,9,7,0.279543,0.293642,0,0.010044,7
1473,Lisa von Marton,Darsteller,1,10,7,0.333864,0.354091,0,0.064884,10
1474,Lissy Bonin,Darsteller,1,7,7,0.30816,0.324729,0,0.027304,7
1475,Lissy Lind,Darsteller,1,10,7,0.32688,0.346569,0,0.059975,9
1476,Litta Korff,Darsteller,1,8,7,0.285631,0.299972,0,0.013256,7
1477,Irena Marga,Darsteller,1,9,6,0.297972,0.314239,0,0.021895,8
1478,Ilse Wilke,Darsteller,1,10,6,0.324139,0.342432,0,0.06128,10
1479,Ilse Mayburg,Darsteller,1,5,7,0.286858,0.302003,0,0.015133,5
1480,Hans Stolle,Darsteller,1,8,8,0.219483,0.228974,0,0.004341,8
1481,Gustav Schmitt,Darsteller,1,9,6,0.321585,0.337577,0,0.037721,9
1482,Gustav Ucicky,Kamera,1,9,7,0.308484,0.325058,0,0.027508,8
1684,Fred Sauer,Regie/Drehbuch,13,91,5,0.390795,0.426095,17194.559351,0.294725,55
1485,Gustav von Wangenheim,Darsteller,1,15,7,0.29949,0.319215,0,0.050596,14
1486,Günther Zobel,Darsteller,1,5,2,0.692308,0.777778,0,0.002387,5
1487,H. Thorsten,Darsteller,1,11,7,0.320253,0.340567,0,0.065578,11
1488,Hanns Heinz Hartt,Darsteller,1,6,7,0.247932,0.258175,0,0.004208,6
1489,Hans Ailbout,Musik,1,12,7,0.329668,0.348713,0,0.050305,11
1490,Hans Baluschek,Bauten,1,9,6,0.336541,0.35565,0,0.069407,8
1491,Hans Breitensträter,Darsteller,1,7,6,0.293741,0.308929,0,0.015948,7
1492,Hans Brennert,Drehbuch,1,3,7,0.26023,0.269612,0,0.003418,3
1493,Hans Dostal,Bauten,1,14,8,0.250341,0.26409,0,0.012344,13
1494,Hans Erdmann,Musik,1,15,7,0.29949,0.319215,0,0.050596,14
1495,Hans Felsing,Drehbuch,1,12,6,0.29141,307,0,0.019783,12
1496,Hans Heinrich von Twardowski,Darsteller,1,9,7,0.318793,0.337923,0,0.054997,9
1497,Hans Jungk,Drehbuch,1,10,6,0.325937,0.345882,0,0.068059,9
1498,Hans Koehler,Darsteller,1,9,7,0.269097,0.283011,0,0.008252,7
1499,Hans Lipschütz,Darsteller,1,12,7,0.318932,0.339693,0,0.070753,11
1500,Hans Moser,Darsteller,1,14,8,0.250341,0.26409,0,0.012344,13
1501,Hans Neirath,Bauten,1,9,7,0.270484,0.283578,0,0.010039,8
1502,Hans Neuendorf,Kamera,1,9,6,0.325144,0.341514,0,0.052981,9
1503,Hans Neumann,Bauten,1,14,8,0.250341,0.26409,0,0.012344,13
1504,Hans Posegga,Musik,1,15,7,0.29949,0.319215,0,0.050596,14
1505,Hans Renfer,Darsteller,1,10,7,0.326953,0.346365,0,0.059333,9
1506,Hans Stein,Kamera,1,9,6,0.33288,0.350817,0,0.052343,8
1507,Hans Steiner,Darsteller,1,8,8,0.219483,0.228974,0,0.004341,8
1610,Willy Schaeffers,Darsteller/Regie,2,17,7,0.317005,0.337844,694.792769,0.053609,15
1510,Gustav Beer,Darsteller,1,8,7,0.313487,0.331695,0,0.042462,7
1511,Gussy Holl,Darsteller,1,9,7,0.332579,0.354647,0,0.075836,9
1512,Gunnar Tolnæs,Darsteller,1,10,7,0.317142,0.335371,0,0.050424,10
1513,Gertrud Arnold,Darsteller,1,10,7,0.322503,0.34093,0,0.0492,10
1514,Georg August Koch,Darsteller,1,8,8,0.219483,0.228974,0,0.004341,8
1515,Georg Burghardt,Regie,1,6,7,0.298517,0.315346,0,0.023571,6
1516,Georg Franck,Drehbuch,1,10,7,0.329225,0.348588,0,0.073243,9
1517,Georg Heinrich,Darsteller,1,9,7,0.312354,0.329902,0,0.030685,9
1518,Georg Kroll,Regie,1,10,7,0.318724,0.339035,0,0.075251,10
1519,Georg Langer,Darsteller,1,9,6,0.329668,0.348117,0,0.052272,8
1520,Georg Okonkowski,Drehbuch,1,12,7,0.329668,0.348713,0,0.050305,11
1521,Georg Paezel,Kamera,1,7,7,0.252492,0.26412,0,0.006273,6
1682,Carl Heinz Boese,Drehbuch/Regie,3,28,6,0.360049,0.385591,682.379751,0.133765,22
1523,Gerd Luenen,Darsteller,1,9,6,0.300102,0.317415,0,0.024834,8
1524,Gerda Rawitzki,Darsteller,1,9,7,0.31769,0.336653,0,0.041121,9
1525,Gerda Reinach,Darsteller,1,9,1,1,1,0,0.003078,7
1526,Gert Sascha,Darsteller,1,7,6,0.32307,0.339381,0,0.047245,7
1527,Gertrud Rottenberg,Darsteller,1,5,8,0.184966,0.191424,0,0.002351,5
1528,Guniear Holderson,Darsteller,1,6,7,0.227435,0.237095,0,0.002836,5
1529,Gertrud de Lalsky,Darsteller,1,9,7,0.294802,0.311125,0,0.019705,9
1530,Giuseppe Spalla,Darsteller,1,8,7,0.317484,0.336199,0,0.041834,8
1531,Gottfried Hacker,Regie,1,0,0,0,0,0,0,0
1532,Gottfried Kraus,Darsteller,1,9,7,0.306553,0.322947,0,0.033327,9
1533,Gregory Ratoff,Darsteller,1,5,7,0.271434,0.284531,0,0.007896,4
1534,Grete Diercks,Darsteller,1,10,7,0.33356,0.354023,0,0.085903,10
1535,Grete Felsing,Darsteller,1,10,7,0.295276,0.311159,0,0.021778,9
1536,Grete Körner,Darsteller,1,6,8,0.263167,0.275368,0,0.006018,6
1537,Grete Sandheim,Darsteller,1,9,7,0.29998,0.316798,0,0.046098,9
1538,Grete Schmidt,Darsteller,1,5,7,0.286858,0.302003,0,0.015133,5
1539,Grete Sellin,Darsteller,1,10,6,0.315642,0.333764,0,0.045511,10
1540,Gräfin Polina Piechowska,Darsteller,1,9,7,0.28212,0.296194,0,0.011672,8
1541,Gudrun Bruun-Steffensen,Darsteller,1,9,7,0.318655,0.338491,0,0.056188,9
1542,Hans Sternberg,Darsteller,1,21,6,0.338479,0.361958,0,0.155984,19
1543,Hans Strohbach,Bauten,1,9,6,0.310505,0.327377,0,0.028056,8
1544,Ilse Götzen,Darsteller,1,5,6,0.271987,0.284695,0,0.008596,5
1545,Hans Werder,Darsteller,1,12,6,0.29141,307,0,0.019783,12
1546,Hermann Bing,Darsteller,1,9,1,1,1,0,0.003078,7
1547,Hermann Rosenfeld,Regie,1,9,6,0.31721,0.337474,0,0.04576,9
1548,Hermine Sterler,Darsteller,1,9,6,0.334624,0.354289,0,0.08209,9
1652,William Kahn,Drehbuch/Regie,11,79,6,0.361734,0.389415,1322.658984,0.130988,29
1551,Herr Dubois,Darsteller,1,10,7,0.312553,0.329993,0,0.040567,10
1552,Herr Kieselau,Kamera,1,14,8,0.250341,0.26409,0,0.012344,13
1553,Herr Mc,Darsteller,1,9,7,0.320113,0.337912,0,0.039665,8
1554,Herr Rasmus-Ottensen,Darsteller,1,3,8,0.212222,0.219523,0,0.001276,3
1555,Herta Russ-Schillinger,Darsteller,1,10,7,0.322503,0.34093,0,0.0492,10
1556,Hertas Schwester,Darsteller,1,5,6,0.271987,0.284695,0,0.008596,5
1557,Hertha Katsch,Darsteller,1,8,6,0.314426,0.330032,0,0.029604,7
1558,Hertha von Walther,Darsteller,1,11,6,0.337236,0.35708,0,0.067201,10
1559,Hildach,Musik,1,12,6,0.29141,307,0,0.019783,12
1560,Hilde Behm,Darsteller,1,5,8,0.184966,0.191424,0,0.002351,5
1561,Hilde Wall,Darsteller,1,6,7,0.243939,0.254193,0,0.005462,6
1562,Hilde van Geldern,Darsteller,1,5,7,0.266075,0.278246,0,0.006668,5
1563,Hilmar Geißler,Darsteller,1,11,7,0.306297,0.3239,0,0.028814,10
1564,Hochstapler,Darsteller,1,8,6,0.258036,0.271137,0,0.008954,8
1565,Holward,Drehbuch,1,6,7,0.289972,0.30434,0,0.013179,5
1566,Hugo Fischer-Köppe,Darsteller,1,7,7,0.291122,0.305452,0,0.016886,7
1567,Ada Svedin,Darsteller,1,12,7,0.329668,0.348713,0,0.050305,11
1568,Hugo Werner-Kahle,Darsteller,1,9,7,0.312886,0.33174,0,0.042976,8
1569,Ica von Lenkeffy,Darsteller,1,9,7,0.317416,0.337436,0,0.056407,9
1570,Ida Kattner,Darsteller,1,4,7,0.262744,0.27339,0,0.004375,3
1571,Ida Norden,Darsteller,1,7,1,1,1,0,0.003078,7
1572,Ida Wüst,Drehbuch,1,8,7,0.313755,0.331661,0,0.034633,8
1573,Ila Loth,Darsteller,1,9,6,0.265354,0.278591,0,0.011886,9
1574,Ilse Born,Darsteller,1,10,7,0.312553,0.329993,0,0.040567,10
