Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
44,Curt J. Braun,Drehbuch,4,53,4,0.426361,0.464942,1778.154978,0.600808,46,,
45,Lothar Philipp August Mayring,Drehbuch,4,59,4,0.436108,0.477599,2474.805165,0.758639,53,,
46,Franz Zimmermann,Darsteller,4,52,4,0.422727,0.463262,2117.336225,0.61399,48,,
47,Philipp Lothar Othello Mayring,Drehbuch,4,59,4,0.436108,0.477599,2474.805165,0.758639,53,,
48,Günther Lüders,Darsteller,4,28,4,0.388512,0.419803,1148.547271,0.24217,25,,
49,Carsta Löck,Darsteller,4,49,4,0.435342,0.473118,2743.921769,0.600537,47,,
50,Franz Vogel,Produzent,4,52,4,0.407448,0.444556,1234.15262,0.478269,41,,
51,Reimar Kuntze,Kamera,4,54,4,0.429066,0.471662,2272.21915,0.667843,52,,
52,Ernst Karchow,Darsteller,4,45,4,0.389529,0.429547,7485.494023,0.322426,41,,
53,Wolfgang Zeller,Musik,4,47,4,0.397648,0.437052,2303.695565,0.406858,41,,
54,Karl Weber,Bauten,4,59,4,0.434833,0.474238,2740.50662,0.568727,52,,
56,Carl Otto Bartning,Schnitt,4,55,4,0.404568,0.443772,1551.192479,0.459444,42,,
57,Karl Vollbrecht,Bauten,4,56,4,0.421053,0.461246,1919.060344,0.529875,47,,
58,Konstantin Tschet,Kamera,4,53,5,0.388309,0.428763,891.560064,0.43231,40,,
61,Olga Tschechowa,Darsteller,4,52,4,0.411504,0.449933,1889.754427,0.527391,45,,
62,Paul Hartmann,Darsteller,4,55,4,0.430556,0.471438,2730.675527,0.652698,52,,
63,Otto Erdmann,Bauten,4,53,4,0.435088,0.474126,1863.225136,0.58848,47,,
64,Hans Carste,Musik,4,49,4,0.408567,0.449037,1965.592638,0.483491,45,,
65,Hans Sohnle,Bauten,4,53,4,0.435088,0.474126,1863.225136,0.58848,47,,
66,Edwin Jürgensen,Darsteller,4,50,4,0.412417,0.449485,3118.108434,0.413331,42,,
67,Gustav Waldau,Darsteller,4,51,4,0.437133,0.475918,3009.520956,0.58223,49,,
68,Walter Steinbeck,Darsteller,4,30,4,0.390346,0.424731,1447.51429,0.270076,29,,
69,Walter Röhrig,Bauten,4,52,4,0.416807,0.452509,973.472097,0.499495,39,,
