Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
284,Otto Stenzeel,Musik,2,27,5,0.366608,0.392154,1476.679382,0.10731,25
285,Olivia Fried,Darsteller,2,25,5,0.351534,0.371381,0,0.08829,11
286,Grit Haid,Darsteller,2,19,4,0.346052,0.366331,18450,0.067601,17
287,Georgia Lind,Darsteller,2,21,5,0.363668,0.390236,700.806328,0.135951,21
288,Gerda Maurus,Darsteller,2,21,5,0.368812,0.393512,272.558198,0.143355,20
289,G. W. Pabst,Regie,2,30,5,0.38831,0.416842,119.937887,0.250649,26
290,Georg John,Darsteller,2,29,5,0.356947,0.384244,2314.406879,0.128882,28
291,Lewis Ruth,Musik,2,17,5,0.381911,0.409652,44.48567,0.202018,16
292,Alexander Laszlo,Musik,2,30,5,0.392548,0.421077,558.054897,0.227901,28
293,Käte Haack,Darsteller,2,26,5,0.390637,0.417721,65.613201,0.253828,21
294,Grete Mosheim,Darsteller,2,23,5,0.372766,0.397907,225.678116,0.159385,20
295,Willy Reiber,Bauten,2,30,5,0.392548,0.421077,558.054897,0.227901,28
297,Georg Bruckbauer,Kamera,2,18,5,0.345364,0.365548,251.664306,0.062079,16
298,Oskar Marion,Darsteller,2,27,5,0.357682,0.380729,206.843883,0.107109,24
299,Kurt Neubert,Kamera,2,32,5,0.359407,0.384244,14.171454,0.134834,19
300,Leopold Blonder,Bauten,2,31,5,0.383315,0.412448,971.971458,0.184244,27
301,Georg C. Klaren,Drehbuch,2,26,4,0.377488,0.402525,391.591673,0.163845,25
302,Leo Peukert,Darsteller,2,32,5,0.385297,0.415324,470.838902,0.247948,29
303,Gernot Bock-Stieber,Drehbuch,2,15,5,0.344793,0.364749,1427.414767,0.07112,15
304,Kurt Bernhardt,Regie,2,17,6,0.332589,0.353148,0,0.058108,14
305,Willy Rosen,Musik,2,30,5,0.399158,0.428907,248.817227,0.301766,28
1125,Rochus Gliese,Regie/Bauten/Drehbuch,4,48,5,0.336343,0.359716,712.241382,0.059017,24
308,Gaston Jacquet,Darsteller,2,26,5,0.37572,0.404858,270.206823,0.256596,26
309,Ley On,Darsteller,2,29,5,0.346857,0.369623,7.036396,0.107669,17
310,Gregor Rabinowitsch,Produzent,2,33,5,0.387588,0.4186,589.910896,0.223599,31
311,Ita Rina,Darsteller,2,22,4,0.370779,0.396373,2614.354537,0.13545,21
312,Nunzio Malasomma,Drehbuch,2,32,5,0.359407,0.384244,14.171454,0.134834,19
313,Martin Berger,Drehbuch/Regie,2,22,5,0.329542,0.346692,0,0.042115,11
314,Heinrich Nebenzahl,Produzent,2,28,4,0.395225,0.423378,3018.834456,0.179481,26
315,Albert Benitz,Kamera,2,32,5,0.359407,0.384244,14.171454,0.134834,19
316,Albert Bassermann,Darsteller,2,27,5,0.367642,0.393273,167.568573,0.172189,23
317,Jakob Tiedtke,Darsteller,2,20,4,0.39093,0.414829,493.323957,0.219322,20
318,Heinz Rühmann,Darsteller,2,28,5,0.382472,0.41109,104.986009,0.254517,25
319,Akos Farkas,Kamera,2,26,5,0.374641,0.402461,485.104513,0.185508,24
320,Max Gülstorff,Darsteller,2,25,5,0.370647,0.396708,488.529497,0.183459,22
1129,Eugen Thiele,Drehbuch/Regie,2,28,5,0.349297,0.37194,0,0.097708,14
323,Henri Garat,Darsteller,2,26,5,0.37518,0.404858,266.001818,0.223044,25
1145,Carl Heinz Wolff,Produzent/Regie,4,50,5,0.367124,0.393992,131.382587,0.164533,21
325,Margot Walter,Darsteller,2,30,4,0.400538,0.427852,676.958626,0.278814,29
326,Mathias Wieman,Darsteller,2,28,5,0.369596,0.39503,1026.430018,0.157148,26
327,Maria Forescu,Darsteller,2,17,5,0.352484,0.374976,248.538167,0.08361,15
329,Clifford Mc,Darsteller,2,12,6,0.316636,0.332998,43.013242,0.025664,9
330,Jack Mylong-Münz,Darsteller,2,24,4,0.377899,0.402045,610.384917,0.191555,23
