Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
373;Hans Melchinger;Darsteller/Regie;2;12;1;1;1;0;0.003654;6
374;Paul Graetz;Darsteller;2;26;5;0.369017;0.394493;990.878614;0.27398;26
375;Fritz Schroeter;Darsteller;2;20;5;0.347019;0.369296;89.015746;0.128128;13
376;Paul Reno;Drehbuch;2;20;5;0.340292;0.3617;275.126762;0.115324;17
377;Paul Hardtmuth;Darsteller;2;19;5;0.359937;0.38215;184.628378;0.204611;16
378;Paul Rehkopf;Darsteller;2;15;5;0.324794;0.346246;212.300052;0.102447;13
379;Maud Marion;Darsteller;2;19;5;0.36326;0.38697;162.993331;0.177898;15
380;Hans Heinrich von Twardowski;Darsteller;2;24;5;0.348078;0.376132;450.364756;0.246648;24
381;Mathilde Sussin;Darsteller;2;20;4;0.350861;0.373722;1215.628892;0.135533;18
382;Hans Flemming;Bauten;2;36;5;0.331976;0.35355;0;0.1315;16
383;Gustavo Serena;Darsteller;2;28;5;0.319161;0.341908;0.071429;0.117742;15
384;Hans Dreier;Bauten;2;36;5;0.331976;0.35355;0;0.1315;16
385;Paul Leni;Bauten;2;22;5;0.35512;0.381741;246.457409;0.212467;19
386;Hans Behrendt;Drehbuch;2;36;5;0.331976;0.35355;0;0.1315;16
387;Johannes Umlauf;Bauten;2;21;5;0.350538;0.375796;742.1589;0.174554;21
388;Paul Ludwig Stein;Regie;2;19;5;0.351185;0.37901;120.768775;0.234398;18
389;Harry Hardt;Darsteller;2;20;5;0.348184;0.372948;617.287527;0.186435;19
391;Heinz Salfner;Darsteller;2;19;5;0.35634;0.379083;164.356446;0.183378;16
394;Oskar Friedrich Werndorff;Bauten;2;20;5;0.321137;0.343383;129.533596;0.096087;15
395;Gernot Bock-Stieber;Drehbuch/Regie;2;16;5;0.315106;0.334575;0;0.062496;8
396;Gertrud Rottenberg;Darsteller;2;9;7;0.203459;0.212762;0.4;0.007807;7
397;Gertrud de Lalsky;Darsteller;2;36;5;0.331976;0.35355;0;0.1315;16
398;Ossi Oswalda;Darsteller;2;18;4;0.35634;0.376497;129.660479;0.162585;14
399;Ossip Runitsch;Darsteller;2;12;6;0.28376;0.302293;949.220385;0.024909;12
400;Philipp Manning;Darsteller;2;18;4;0.347866;0.368975;301.597752;0.145529;16
401;John Gottowt;Darsteller;2;16;5;0.328913;0.348525;520.795648;0.077906;15
402;Giovanni Vitrotti;Kamera;2;22;5;0.35347;0.379156;431.522763;0.202069;22
403;Heinrich Nebenzahl;Produzent;2;28;6;0.274081;0.291864;253.049805;0.034331;17
404;Gisela Schönfeld;Darsteller;2;21;5;0.346177;0.373386;473.411959;0.176792;20
405;Joseph Max Jacobi;Drehbuch/Regie;2;18;5;0.339381;0.357391;0;0.10177;9
406;Joseph Delmont;Regie/Schnitt;2;18;5;0.34861;0.36747;0;0.134674;9
407;Peter Paul Felner;Drehbuch/Regie;2;26;5;0.337474;0.360386;0;0.190611;13
408;Otti Ottera;Darsteller;2;16;1;1;1;0.142857;0.005926;8
409;Grete Diercks;Darsteller;2;20;5;0.343261;0.366477;480.949545;0.137864;18
410;Grete Freund;Darsteller;2;21;5;0.350969;0.375723;121.421034;0.211601;17
411;Heinrich Brandt;Drehbuch/Regie;2;18;5;0.318537;0.337409;0;0.077861;9
412;Heinrich Beisenherz;Bauten;2;22;5;0.332653;0.357274;502.350509;0.126792;19
413;Grete Hollmann;Darsteller;2;15;6;0.299239;0.317864;231.785449;0.039731;12
414;Josefine Dora;Darsteller;2;21;5;0.333919;0.356953;2626.112044;0.132428;18
415;Otto Gebühr;Darsteller;2;36;5;0.331976;0.35355;0;0.1315;16
416;Otto Kronburger;Darsteller;2;12;7;0.224828;0.235938;0;0.006358;6
1310;Carl Boese;Regie/Drehbuch;4;25;5;0.312432;0.331858;1333.936347;0.04957;16
419;Grita van Ryt;Darsteller;2;20;5;0.347019;0.369296;89.015746;0.128128;13
420;Gina Relly;Darsteller;2;19;5;0.351618;0.377476;434.372577;0.2147;18
421;Fritz Reiff;Darsteller;2;16;1;1;1;0.142857;0.005926;8
422;Fritz Russ;Darsteller;2;17;5;0.275937;0.291835;857.431914;0.023432;13
423;Louis Brody;Darsteller;2;22;5;0.335588;0.359582;656.742163;0.150596;22
425;Viktor Schwanneke;Darsteller;2;19;5;0.336181;0.359144;728.965036;0.112773;18
426;Carl Stahl-Urach;Bauten;2;30;5;0.320596;0.340549;0;0.121458;15
427;Magnus Stifter;Darsteller;2;18;5;0.365705;0.388431;159.731599;0.246721;17
428;Carl Ludwig Achaz-Duisberg;Darsteller;2;14;5;0.309298;0.327038;98.963589;0.049615;13
429;Vilma Bánky;Darsteller;2;12;6;0.302012;0.321662;153.290752;0.046325;12
430;Vilmos Fényes;Kamera;2;26;5;0.35634;0.382588;712.726671;0.254873;21
431;Lissy Reincke;Drehbuch;2;19;6;0.278293;0.295457;4.533333;0.050917;14
432;Walter Doerry;Darsteller;2;16;6;0.302172;0.32175;180.447514;0.066147;15
434;Mady Christians;Darsteller;2;20;5;0.357792;0.384005;193.44658;0.224163;18
435;Carl Dittmann;Kamera;2;20;1;1;1;18.666667;0.017712;17
436;Walter Röhrig;Bauten;2;29;5;0.36119;0.39033;177.41367;0.342562;25
437;Lothar Knud Frederik;Drehbuch;2;22;5;0.324979;0.347166;5995.729219;0.093216;19
438;Walter Supper;Drehbuch;2;26;5;0.35634;0.382588;712.726671;0.254873;21
