Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
512;Paula Wessely;Darsteller;1;14;5;0.358772;0.378709;0;0.086556;13;1;78;;
513;Pierre Brasseur;Darsteller;1;15;4;0.356995;0.378805;0;0.111049;15;1;105;;
514;Pierre Lugan;Darsteller;1;14;5;0.345034;0.366089;0;0.101113;13;1;78;;
515;Pierre Magnier;Darsteller;1;13;4;0.342982;0.364933;0;0.073643;13;1;78;;
516;Ralph Kemplen;Schnitt;1;15;5;0.327156;0.347784;0;0.072186;15;1;105;;
517;Raymond Aimos;Darsteller;1;15;4;0.356995;0.378805;0;0.111049;15;1;105;;
518;Raymond Rouleau;Darsteller;1;13;4;0.342982;0.364933;0;0.073643;13;1;78;;
519;Paul Henreid;Darsteller;1;14;4;0.353639;0.374085;0;0.067282;14;1;91;;
520;Paul Sugar;Drehbuch;1;14;5;0.360717;0.384489;0;0.092347;14;1;91;;
521;Paul Rischke;Kamera;1;11;5;0.333719;0.350289;0;0.02632;10;1;45;;
522;Louis Ralphvon Müller;Darsteller;1;9;5;0.318953;0.336628;0;0.018939;8;1;28;;
523;Paul Portier;Kamera;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
524;Paul Lieberenz;Kamera;1;17;5;0.356114;0.377649;0;0.078457;15;1;105;;
525;Paul Kohner;Produzent;1;15;5;0.338155;0.358382;0;0.049566;13;1;78;;
526;Renate Müller;Darsteller;1;13;4;0.385472;0.408574;0;0.154306;13;1;78;;
527;René Le Hénaff;Regie/Schnitt;2;36;5;0.330279;0.35289;0;0.045713;18;1;153;;
528;Oswald Hafenrichter;Schnitt;1;14;5;0.360717;0.384489;0;0.092347;14;1;91;;
529;Rudolf Carl;Darsteller;1;17;4;0.35803;0.380154;0;0.111656;15;1;105;;
530;Maris Wetra;Darsteller;1;12;4;0.356554;0.376108;0;0.063932;12;1;66;;
531;Rudolf Forster;Darsteller;1;14;4;0.353639;0.374085;0;0.067282;14;1;91;;
532;Melanie Horeschovsky;Darsteller;1;15;5;0.338155;0.358382;0;0.049566;13;1;78;;
533;Tr. Georg Wittuhn;Drehbuch;1;16;5;0.353061;0.378613;0;0.101692;16;1;120;;
534;Maximilienne;Darsteller;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
535;Trude Haefelin;Darsteller;1;13;4;0.36238;0.385645;0;0.105797;13;1;78;;
536;Peter Kreuder Jr.;Musik;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
537;Max W. Kimmich;Drehbuch;1;8;4;0.363293;0.380443;0;0.066763;8;1;28;;
538;Ulla von Henning;Darsteller;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
539;Vicky Werckmeister;Darsteller;1;13;4;0.368399;0.389306;0;0.130609;13;1;78;;
540;Viktor Klein;Produzent;1;13;4;0.374783;0.39817;0;0.126512;12;1;66;;
541;Max Kolpé;Drehbuch;1;7;1;1;1;0;0.002934;7;1;21;;
542;Violaine Barry;Darsteller;1;14;4;0.35626;0.378516;0;0.088484;14;1;91;;
543;Max Holsboer;Darsteller;1;13;5;0.349072;0.369075;0;0.055357;10;1;45;;
544;Václav Vích;Kamera;1;13;5;0.346554;0.367534;0;0.066336;12;1;66;;
545;Maurice Elvey;Regie;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
546;Waldemar Müller;Darsteller;1;4;5;0.319188;0.332948;0;0.019648;4;1;6;;
547;Martin Frič;Regie/Drehbuch;2;24;5;0.346554;0.367534;0;0.066336;12;1;66;;
548;Walter F. Fichelscher;Drehbuch;1;15;4;0.364211;0.386127;0;0.125659;14;1;91;;
549;Walter Franck;Darsteller;1;13;4;0.356848;0.376782;0;0.056433;11;1;55;;
550;Marthe Mellot;Darsteller;1;12;4;0.331926;0.351445;0;0.037351;12;1;66;;
551;Marja Tamara;Darsteller;1;13;4;0.371883;0.392582;0;0.13478;13;1;78;;
552;Tonie Edgar-Bruce;Darsteller;1;13;4;0.330405;0.349422;0;0.035781;12;1;66;;
553;Michael Bohnen;Darsteller;1;14;5;0.341358;0.364162;0;0.079468;14;1;91;;
554;Mischa Spoliansky;Musik;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
555;Nunzio Malasomma;Drehbuch/Regie;2;24;5;0.349072;0.369075;0;0.055357;10;1;45;;
556;Rudolf Perak;Musik;1;10;5;0.341897;0.362909;0;0.053957;10;1;45;;
557;Oskar Han;Produzent;1;16;4;0.371723;0.396146;0;0.124756;16;1;120;;
558;Rudolf van der Noss;Regie;1;2;5;0.311375;0.325164;0;0.014877;2;1;1;;
559;Oscar Nedbal;Musik;1;17;4;0.35803;0.380154;0;0.111656;15;1;105;;
560;Sigmund Graff;Drehbuch;1;14;5;0.348229;0.369942;0;0.091451;13;1;78;;
561;Simone Bourday;Darsteller;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
562;O. E. Hasse;Darsteller;1;16;5;0.352342;0.374085;0;0.11599;14;1;91;;
563;Simone Deguyse;Darsteller;1;13;4;0.339083;0.360405;0;0.072281;12;1;66;;
564;Norman G. Arnold;Bauten;1;15;5;0.327156;0.347784;0;0.072186;15;1;105;;
565;Theo Halton;Drehbuch;1;13;4;0.370133;0.390944;0;0.091549;13;1;78;;
566;Sophie Otto;Darsteller;1;11;5;0.333719;0.350289;0;0.02632;10;1;45;;
567;Nora Souane;Darsteller;1;12;4;0.331926;0.351445;0;0.037351;12;1;66;;
568;Stephan Blötzer;Darsteller;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
569;Susi Lanner;Darsteller;1;11;5;0.357438;0.380154;0;0.099458;10;1;45;;
570;Nico Turoff;Darsteller;1;13;5;0.349072;0.369075;0;0.055357;10;1;45;;
571;Suzy Pierson;Darsteller;1;13;4;0.332054;0.351156;0;0.046675;13;1;78;;
572;Muriel George;Darsteller;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
573;Sven Holm;Darsteller;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
574;Sybil Moholy-Nagy;Drehbuch;1;11;5;0.357438;0.380154;0;0.099458;10;1;45;;
575;A. Hörler;Musik;1;19;5;0.35509;0.381021;0;0.128213;18;1;153;;
576;Hertha von Gebhardt;Drehbuch;1;17;4;0.387545;0.411175;0;0.170703;17;1;136;;
577;Louis Ralph;Regie/Drehbuch;2;16;5;0.318953;0.336628;0;0.018939;8;1;28;;
578;Erich Ponto;Darsteller;1;14;4;0.345447;0.366281;0;0.072334;14;1;91;;
579;Erich Schicker;Produzent;1;16;5;0.371245;0.395183;0;0.13671;16;1;120;;
580;Erich Walter;Darsteller;1;13;4;0.344622;0.366667;0;0.075683;13;1;78;;
581;Erika Dannhoff;Darsteller;1;9;5;0.335662;0.353776;0;0.030445;8;1;28;;
582;Erika Streithorst;Darsteller;1;16;5;0.353061;0.378613;0;0.101692;16;1;120;;
583;Erna Jaus;Darsteller;1;6;5;0.276711;0.289152;0;0.006689;5;1;10;;
584;Ernest Thesiger;Darsteller;1;15;5;0.327156;0.347784;0;0.072186;15;1;105;;
585;Ernst Behmer;Darsteller;1;14;4;0.367616;0.391137;0;0.12688;14;1;91;;
586;Ernst Erich Buder;Musik;1;16;5;0.371245;0.395183;0;0.13671;16;1;120;;
587;Ernst G. Schiffner;Darsteller;1;15;4;0.364057;0.386898;0;0.098835;14;1;91;;
588;Ernst Gronau;Darsteller;1;13;4;0.36238;0.385645;0;0.105797;13;1;78;;
589;Ernst Karchow;Darsteller;1;14;5;0.341358;0.364162;0;0.079468;14;1;91;;
590;Ernst Kobosil;Produzent;1;14;4;0.377894;0.40106;0;0.135583;14;1;91;;
591;Ernst Legal;Darsteller;1;14;5;0.359369;0.381503;0;0.117656;14;1;91;;
592;Ernst Rotmund;Darsteller;1;13;5;0.363293;0.385164;0;0.091708;13;1;78;;
593;Ernst Stahl-Nachbaur;Darsteller;1;16;5;0.353061;0.378613;0;0.101692;16;1;120;;
594;Erich Kobler;Schnitt;1;13;4;0.370133;0.390944;0;0.091549;13;1;78;;
595;Erich Kestin;Darsteller;1;12;5;0.345172;0.367168;0;0.060866;12;1;66;;
596;Erich Engels;Regie/Drehbuch;3;22;5;0.370133;0.392197;0;0.104091;11;1;55;;
597;Elsa Krüger;Darsteller;1;9;5;0.331037;0.347996;0;0.029455;7;1;21;;
598;Eduard Hoesch;Kamera;1;14;4;0.367616;0.391137;0;0.12688;14;1;91;;
599;Eduard Köck;Darsteller;1;15;5;0.338155;0.358382;0;0.049566;13;1;78;;
600;Egbert van Putten;Drehbuch;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
601;Ekkehard Arendt;Darsteller;1;16;5;0.371245;0.395183;0;0.13671;16;1;120;;
602;Elfriede Jerra;Darsteller;1;14;5;0.376251;0.4;0;0.148746;14;1;91;;
603;Elise Aulinger;Darsteller;1;12;5;0.313406;0.331233;0;0.025575;11;1;55;;
604;Ellen Hille;Darsteller;1;14;4;0.360267;0.383622;0;0.100138;13;1;78;;
605;Else Ehser;Darsteller;1;13;5;0.349636;0.369942;0;0.070478;12;1;66;;
606;Emil Höfer;Darsteller;1;11;5;0.3247;0.345568;0;0.046424;11;1;55;;
607;Emil Jannings;Darsteller;1;14;4;0.356114;0.376301;0;0.074932;13;1;78;;
608;Emlyn Williams;Darsteller;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
609;Erhard Siedel;Darsteller;1;14;5;0.348229;0.369942;0;0.091451;13;1;78;;
610;Eric Helgar;Darsteller;1;17;5;0.354945;0.380925;0;0.123552;17;1;136;;
611;Erich Einegg;Musik;1;13;5;0.346554;0.367534;0;0.066336;12;1;66;;
612;Erwin Nic;Darsteller;1;10;5;0.300452;0.317168;0;0.013504;9;1;36;;
613;Erwin van Roy;Darsteller;1;14;5;0.354654;0.377649;0;0.097169;13;1;78;;
614;Eugen Rex;Darsteller;1;12;4;0.358921;0.379576;0;0.083349;12;1;66;;
615;Franz Weichenmayr;Drehbuch;1;12;5;0.345034;0.367052;0;0.059458;12;1;66;;
616;Franz Schubert;Musik;1;12;5;0.316271;0.334489;0;0.029953;11;1;55;;
617;Franz Schönbaumsfeld;Musik;1;9;5;0.335662;0.353776;0;0.030445;8;1;28;;
618;Franz Tanzler;Drehbuch;1;11;5;0.333719;0.350289;0;0.02632;10;1;45;;
619;Franz Verdier;Darsteller;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
620;Franz Vogel;Produzent;1;13;5;0.344896;0.366089;0;0.054321;13;1;78;;
621;Franz W. Schröder-Schrom;Darsteller;1;10;5;0.323364;0.344547;0;0.034504;10;1;45;;
622;Franz Wachsmann;Musik;1;7;1;1;1;0;0.002934;7;1;21;;
623;Fred Andreas;Drehbuch;1;13;5;0.363293;0.385164;0;0.091708;13;1;78;;
624;Franz R. Friedl;Musik;1;14;5;0.339083;0.358882;0;0.045868;13;1;78;;
625;Fred Hennings;Darsteller;1;12;5;0.344347;0.365414;0;0.068696;11;1;55;;
626;Friedel Pisetta;Darsteller;1;11;4;0.386161;0.408863;0;0.147095;11;1;55;;
627;Friedl Hanses;Darsteller;1;13;5;0.347949;0.369364;0;0.074383;13;1;78;;
628;Friedrich Gnaß;Darsteller;1;11;5;0.333719;0.350289;0;0.02632;10;1;45;;
629;Friedrich Kohner;Drehbuch;1;7;1;1;1;0;0.002934;7;1;21;;
630;Friedrich Ulmer;Darsteller;1;14;5;0.339083;0.358882;0;0.045868;13;1;78;;
631;Fritz E. Nauch;Schnitt;1;14;5;0.35626;0.378035;0;0.070975;13;1;78;;
632;Franz Schröder;Schnitt;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
633;Franz Osten;Regie;1;0;0;0;0;0;0;0;0;0;;
634;Eugen Schüfftan;Kamera;1;7;1;1;1;0;0.002934;7;1;21;;
635;Frank Clifford;Produzent;1;16;4;0.371723;0.396146;0;0.124756;16;1;120;;
636;Eva von Berne;Darsteller;1;13;5;0.349072;0.369075;0;0.055357;10;1;45;;
637;Ewald Wenck;Darsteller;1;12;5;0.34865;0.371291;0;0.068487;12;1;66;;
638;F. D. Andam;Drehbuch;1;16;4;0.376251;0.399711;0;0.149495;16;1;120;;
639;Felix Gruber;Darsteller;1;6;5;0.302236;0.318516;0;0.013171;5;1;10;;
640;Fernand Gravey;Darsteller;1;14;4;0.334752;0.354335;0;0.067311;13;1;78;;
641;Fernando Tropea;Schnitt;1;13;5;0.346554;0.367534;0;0.066336;12;1;66;;
642;Fernandos Tante;Darsteller;1;14;5;0.360717;0.384489;0;0.092347;14;1;91;;
643;Frank Wysbar;Drehbuch/Regie;2;36;5;0.35509;0.381021;0;0.128213;18;1;153;;
644;Franz Marszalek;Musik;1;16;5;0.353061;0.378613;0;0.101692;16;1;120;;
645;Franz Adam;Drehbuch/Produzent;2;40;5;0.341088;0.364066;0;0.061214;18;1;153;;
646;Franz Bertl Seyr;Kamera;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
647;Franz Geretshauser;Produzent;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
648;Franz Herterich;Darsteller;1;14;5;0.358772;0.378709;0;0.086556;13;1;78;;
649;Franz Lehár;Musik;1;14;4;0.380554;0.403179;0;0.144339;14;1;91;;
650;Edith Linn;Darsteller;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
651;Edgar Pauly;Darsteller;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
652;E. Freiherr von Spiegel;Drehbuch;1;17;5;0.356114;0.377649;0;0.078457;15;1;105;;
653;Beni Führer;Darsteller;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
654;Armin Petersen;Drehbuch;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
655;Arnfried Heyne;Schnitt;1;12;4;0.365441;0.384586;0;0.097364;12;1;66;;
656;Arnold Kühnemann;Regie;1;1;1;1;1;0;0.00025;1;0;0;;
657;Arthur von Schwertführer;Kamera;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
658;August Kern;Drehbuch;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
659;Axel Eggebrecht;Drehbuch;1;12;5;0.369816;0.392678;0;0.145352;12;1;66;;
660;Baby Gray;Darsteller;1;13;5;0.344896;0.366089;0;0.054321;13;1;78;;
661;Beppo Brem;Darsteller;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
662;Antonie Jaeckel;Darsteller;1;16;4;0.355674;0.37659;0;0.118086;14;1;91;;
663;Bernhard Goetzke;Darsteller;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
664;Bernhard Schwidewski;Bauten;1;12;5;0.353639;0.374277;0;0.066064;12;1;66;;
665;Bertl Schultes;Darsteller;1;15;5;0.338155;0.358382;0;0.049566;13;1;78;;
666;Beryl Laverick;Darsteller;1;12;5;0.316271;0.334489;0;0.029953;11;1;55;;
667;Betty Bird;Darsteller;1;16;4;0.371723;0.396146;0;0.124756;16;1;120;;
668;Betty Huntley Wright;Darsteller;1;13;4;0.330405;0.349422;0;0.035781;12;1;66;;
669;Bohumil Heš;Bauten;1;17;4;0.35803;0.380154;0;0.111656;15;1;105;;
670;Any Hartmann;Darsteller;1;6;5;0.302236;0.318516;0;0.013171;5;1;10;;
671;Anton Kutter;Drehbuch;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
672;Bronislau Kaper;Musik;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
673;Alexander von Lagorio;Kamera;1;13;5;0.351483;0.373121;0;0.066217;13;1;78;;
674;Adolf Fischer;Darsteller;1;10;5;0.300452;0.317168;0;0.013504;9;1;36;;
675;Adrien Le Gallo;Darsteller;1;13;4;0.339083;0.360405;0;0.072281;12;1;66;;
676;Agnes Diers;Darsteller;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
677;Aileen Marson;Darsteller;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
678;Albert Penzkofer;Darsteller;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
679;Albin Skoda;Darsteller;1;14;4;0.345447;0.366281;0;0.072334;14;1;91;;
680;Albrecht Schoenhals;Darsteller;1;14;4;0.339882;0.359538;0;0.073759;13;1;78;;
681;Alexandre Rignault;Darsteller;1;14;4;0.334752;0.354335;0;0.067311;13;1;78;;
682;Anton Dietl;Darsteller;1;6;5;0.276711;0.289152;0;0.006689;5;1;10;;
683;Alfred Junge;Bauten;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
684;Alfred Oberlindober;Produzent;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
685;Amanda Lindner;Darsteller;1;14;4;0.339882;0.359538;0;0.073759;13;1;78;;
686;Andrew Marton;Schnitt;1;15;5;0.338155;0.358382;0;0.049566;13;1;78;;
687;Anne-Marie Braun;Darsteller;1;10;5;0.300452;0.317168;0;0.013504;9;1;36;;
688;Annie Rosar;Darsteller;1;13;4;0.354654;0.374759;0;0.080215;12;1;66;;
689;Anthony Asquith;Regie;1;12;5;0.316271;0.334489;0;0.029953;11;1;55;;
690;Brember Wills;Darsteller;1;12;5;0.316271;0.334489;0;0.029953;11;1;55;;
691;Bruno Latz;Bauten;1;12;5;0.366992;0.39027;0;0.111282;11;1;55;;
692;Dolly Haas;Darsteller;1;12;4;0.375924;0.396628;0;0.131796;11;1;55;;
693;Clemens Schmalstich;Musik;1;9;4;0.342846;0.359056;0;0.038144;8;1;28;;
694;Charlott Daudert;Darsteller;1;12;5;0.353639;0.374277;0;0.066064;12;1;66;;
695;Charlotte Lysès;Darsteller;1;12;4;0.331926;0.351445;0;0.037351;12;1;66;;
696;Charlotte Schultz;Darsteller;1;13;5;0.363293;0.385164;0;0.091708;13;1;78;;
697;Charlotte Serda;Darsteller;1;12;4;0.363445;0.383141;0;0.095283;11;1;55;;
698;Christine Grabe;Darsteller;1;17;5;0.356114;0.377649;0;0.078457;15;1;105;;
699;Christl Mardayn;Darsteller;1;13;4;0.354654;0.374759;0;0.080215;12;1;66;;
700;Claire Fuchs;Darsteller;1;12;4;0.356554;0.376108;0;0.063932;12;1;66;;
701;Colette Darfeuil;Darsteller;1;16;4;0.349072;0.371098;0;0.109902;16;1;120;;
702;Charles Van Enger;Kamera;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
703;Curt A. Engel;Regie;1;0;0;0;0;0;0;0;0;0;;
704;Curt Ackermann;Darsteller;1;9;5;0.335662;0.353776;0;0.030445;8;1;28;;
705;Curt Courant;Kamera;1;15;5;0.371564;0.396146;0;0.133998;14;1;91;;
706;Curt Lukas;Darsteller;1;13;5;0.365596;0.388825;0;0.105749;13;1;78;;
707;Dagny Servaes;Darsteller;1;12;4;0.371883;0.393064;0;0.104703;12;1;66;;
708;Daniel Lecourtois;Darsteller;1;13;4;0.335922;0.357033;0;0.058972;13;1;78;;
709;Danielle Darrieux;Darsteller;1;16;4;0.349072;0.371098;0;0.109902;16;1;120;;
710;Charles Willy Kayser;Darsteller;1;9;5;0.318953;0.336628;0;0.018939;8;1;28;;
711;Charles Martinelli;Darsteller;1;15;4;0.358475;0.381985;0;0.122041;15;1;105;;
712;Camilla Gerzhofer;Darsteller;1;14;4;0.353639;0.374085;0;0.067282;14;1;91;;
713;Carl de Vogt;Darsteller;1;5;5;0.314203;0.329961;0;0.023084;5;1;10;;
714;Carl Dittmann;Kamera;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
715;Carl Echtermeyer;Drehbuch;1;16;4;0.371723;0.396146;0;0.124756;16;1;120;;
716;Carl G. von Bazant;Musik;1;13;4;0.368399;0.389306;0;0.130609;13;1;78;;
717;Carl Haacker;Bauten;1;16;4;0.376251;0.399711;0;0.149495;16;1;120;;
718;Carl Ludwig Kirmse;Bauten;1;14;5;0.339083;0.358882;0;0.045868;13;1;78;;
719;Carla Carlsen;Darsteller;1;9;5;0.335662;0.353776;0;0.030445;8;1;28;;
720;Charles Kullmann;Darsteller;1;14;5;0.360717;0.384489;0;0.092347;14;1;91;;
721;Carola Höhn;Darsteller;1;12;5;0.34865;0.371291;0;0.068487;12;1;66;;
722;Carsta Löck;Darsteller;1;13;5;0.346554;0.367534;0;0.066336;12;1;66;;
723;Catherine Fonteney;Darsteller;1;13;4;0.335922;0.357033;0;0.058972;13;1;78;;
724;Charles Cullum;Darsteller;1;19;5;0.319424;0.34422;0;0.075508;18;1;153;;
725;Charles Dechamps;Darsteller;1;14;4;0.35626;0.378516;0;0.088484;14;1;91;;
726;Charles Frend;Schnitt;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
727;Charles Klein;Regie;1;16;4;0.376251;0.399711;0;0.149495;16;1;120;;
728;Fritz Genschow;Darsteller;1;12;5;0.356554;0.377842;0;0.057365;11;1;55;;
729;Fritz Greiner;Darsteller;1;9;5;0.318953;0.336628;0;0.018939;8;1;28;;
730;Fritz Hoopts;Darsteller;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
731;Jeanne de Carol;Darsteller;1;15;5;0.352486;0.37736;0;0.090441;14;1;91;;
732;Jean Lenoir;Musik;1;7;1;1;1;0;0.002934;7;1;21;;
733;Jean Martinelli;Darsteller;1;12;4;0.331926;0.351445;0;0.037351;12;1;66;;
734;Jean Murat;Darsteller;1;14;4;0.35626;0.378516;0;0.088484;14;1;91;;
735;Jean Servais;Darsteller;1;13;4;0.335922;0.357033;0;0.058972;13;1;78;;
736;Jean Sinoël;Darsteller;1;12;4;0.356848;0.377071;0;0.082182;12;1;66;;
737;Jean de Limur;Regie;1;14;5;0.345034;0.366089;0;0.101113;13;1;78;;
738;Jeanne Pierson;Darsteller;1;14;4;0.336445;0.356262;0;0.06962;13;1;78;;
739;Jenny Burnay;Darsteller;1;10;4;0.339216;0.357514;0;0.053825;9;1;36;;
740;Janine Crispin;Darsteller;1;13;4;0.335922;0.357033;0;0.058972;13;1;78;;
741;Johannes Guter;Regie;1;13;4;0.377729;0.400096;0;0.121915;13;1;78;;
742;Johannes Häussler;Drehbuch/Regie;2;24;5;0.349072;0.369075;0;0.055357;10;1;45;;
743;John Harman;Bauten;1;15;5;0.327156;0.347784;0;0.072186;15;1;105;;
744;Josef Berger;Darsteller/Regie;2;22;5;0.313406;0.331233;0;0.025575;11;1;55;;
745;Jarmila Novotna;Darsteller;1;13;4;0.330405;0.349422;0;0.035781;12;1;66;;
746;Jacques Pills;Darsteller;1;14;4;0.351198;0.371291;0;0.086954;13;1;78;;
747;Josef Franz Strobl;Bauten;1;12;5;0.345034;0.367052;0;0.059458;12;1;66;;
748;Hugo Werner-Kahle;Darsteller;1;16;5;0.371245;0.395183;0;0.13671;16;1;120;;
749;Hilde Weissner;Darsteller;1;15;4;0.373006;0.397399;0;0.143286;15;1;105;;
750;Hildegard Höber;Darsteller;1;11;6;0.232277;0.24526;0;0.00602;10;1;45;;
751;Hilmar Georgi;Musik;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
752;Horst Teetzmann;Darsteller;1;14;5;0.360717;0.384489;0;0.092347;14;1;91;;
753;Hugh Wakefield;Darsteller;1;15;5;0.327156;0.347784;0;0.072186;15;1;105;;
754;Hugo Haas;Drehbuch;1;13;5;0.346554;0.367534;0;0.066336;12;1;66;;
755;Hugo Schrader;Darsteller;1;11;4;0.386161;0.408863;0;0.147095;11;1;55;;
756;Ilse Nast;Darsteller;1;7;1;1;1;0;0.002934;7;1;21;;
757;Jacques Dumesnil;Darsteller;1;15;5;0.337101;0.360019;0;0.074595;15;1;105;;
758;Ilse Stobrawa;Darsteller;1;12;5;0.339083;0.359441;0;0.073928;12;1;66;;
759;Inge Conradi;Darsteller;1;14;5;0.354654;0.377649;0;0.097169;13;1;78;;
760;Inge Landgut;Darsteller;1;13;5;0.349636;0.369942;0;0.070478;12;1;66;;
761;J. A. Hübler-Kahla;Drehbuch/Regie;2;20;5;0.333719;0.350289;0;0.02632;10;1;45;;
762;Jacques Constant;Drehbuch;1;7;1;1;1;0;0.002934;7;1;21;;
763;Jacques Dallin;Musik;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
764;Josef Eichheim;Darsteller;1;9;5;0.330784;0.351561;0;0.04242;9;1;36;;
765;Josef Koch;Kamera;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
766;Hertha Thiele;Darsteller;1;14;5;0.35626;0.378035;0;0.070975;13;1;78;;
767;Leo Slezak;Darsteller;1;9;4;0.342846;0.359056;0;0.038144;8;1;28;;
768;Katia Lova;Darsteller;1;14;4;0.334752;0.354335;0;0.067311;13;1;78;;
769;Klaus Pohl;Darsteller;1;15;5;0.352486;0.37736;0;0.090441;14;1;91;;
770;Konradin Kreutzer;Musik;1;17;4;0.387545;0.411175;0;0.170703;17;1;136;;
771;Kurt Driesch;Musik;1;1;1;1;1;0;0.00025;1;0;0;;
772;Kurt Meisel;Darsteller;1;16;4;0.355674;0.37659;0;0.118086;14;1;91;;
773;Kurt Mühlhardt;Darsteller;1;13;4;0.374783;0.39817;0;0.126512;12;1;66;;
774;Käthe Consée;Darsteller;1;9;5;0.331037;0.347996;0;0.029455;7;1;21;;
775;Leo Stein;Drehbuch;1;17;4;0.35803;0.380154;0;0.111656;15;1;105;;
776;Karl Weber;Bauten;1;12;5;0.370133;0.392197;0;0.104091;11;1;55;;
777;Leopold von Ledebur;Darsteller;1;12;5;0.353639;0.374277;0;0.066064;12;1;66;;
778;Lilian Dietz;Darsteller;1;10;5;0.335401;0.355491;0;0.038002;9;1;36;;
779;Lissy Arna;Darsteller;1;11;4;0.3774;0.398555;0;0.151155;11;1;55;;
780;Livio C. Pavanelli;Darsteller;1;12;4;0.356554;0.376108;0;0.063932;12;1;66;;
781;Lola Chlud;Darsteller;1;13;4;0.354654;0.374759;0;0.080215;12;1;66;;
782;Lothar Buhle;Schnitt;1;15;4;0.364211;0.386127;0;0.125659;14;1;91;;
783;Louis Gauthier;Darsteller;1;15;5;0.337101;0.360019;0;0.074595;15;1;105;;
784;Karlheinz Martin;Regie;1;14;5;0.360717;0.384489;0;0.092347;14;1;91;;
785;Karl Vollbrecht;Bauten;1;16;5;0.370767;0.395568;0;0.093635;16;1;120;;
786;Josef Rovenský;Darsteller;1;13;5;0.349072;0.369075;0;0.055357;10;1;45;;
787;Just Scheu;Musik;1;12;5;0.313406;0.331233;0;0.025575;11;1;55;;
788;Josef Stolzing-Czerny;Drehbuch;1;16;5;0.370767;0.395568;0;0.093635;16;1;120;;
789;Josef Wirsching;Kamera;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
790;Josseline Gael;Darsteller;1;15;4;0.358475;0.381985;0;0.122041;15;1;105;;
791;Julia Serda;Darsteller;1;13;4;0.360717;0.382563;0;0.08286;13;1;78;;
792;Julien Carette;Darsteller;1;10;4;0.339216;0.357514;0;0.053825;9;1;36;;
793;Julius E. Herrmann;Darsteller;1;12;4;0.356554;0.376108;0;0.063932;12;1;66;;
794;Jupp Hussels;Darsteller;1;12;5;0.370133;0.392197;0;0.104091;11;1;55;;
795;Jára Kohout;Jára Kohout;;Darsteller;1;13;5;0.346554;0.367534;0;0.066336;12;1;66
796;Karl Vass;Kamera;1;17;5;0.356114;0.377649;0;0.078457;15;1;105;;
797;Karl Blume;Musik;1;13;5;0.347949;0.369364;0;0.074383;13;1;78;;
798;Karl Elzer;Darsteller;1;12;5;0.369816;0.392678;0;0.145352;12;1;66;;
799;Karl Hanft;Darsteller;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
800;Karl Hellmer;Darsteller;1;14;4;0.345447;0.366281;0;0.072334;14;1;91;;
801;Karl Ludwig Schreiber;Darsteller;1;12;4;0.375924;0.396628;0;0.131796;11;1;55;;
