Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
108;Eduard von Borsody;Schnitt;4;58;4;0.393719;0.427457;682.240242;0.251665;38;0.465149;327;;
109;Max Wallner;Drehbuch;4;59;4;0.421951;0.459634;1014.858301;0.443965;52;0.350679;465;;
110;Igo Martin-Andersen;Drehbuch/Produzent/Regie/Schnitt;4;44;5;0.313747;0.332678;0;0.020713;11;1;55;;
111;Emil Schünemann;Kamera;4;48;4;0.399169;0.434393;2053.546831;0.221314;43;0.296788;268;;
112;Hilde Hildebrand;Darsteller;4;57;4;0.418481;0.455106;1043.753101;0.362746;46;0.348792;361;;
113;Toni Thoms;Musik;4;42;4;0.365905;0.396628;952.311795;0.108891;33;0.354167;187;;
114;Richard Angst;Kamera;4;66;5;0.406676;0.447688;5355.941102;0.251841;51;0.32549;415;;
115;Paul Heidemann;Darsteller;4;46;4;0.431852;0.46368;1063.054693;0.331007;39;0.323887;240;;
116;Fred Sauer;Regie;4;35;5;0.382236;0.414451;519.939014;0.142561;31;0.421505;196;;
117;Robert Baberske;Kamera;4;56;5;0.416266;0.453854;854.69857;0.378482;46;0.357488;370;;
118;Franz Seitz Sr.;Regie;4;44;5;0.378556;0.409827;444.760302;0.136435;30;0.452874;197;;
119;Otto Martini;Kamera;4;66;4;0.388939;0.42553;2704.399485;0.224193;45;0.386869;383;;
120;Robert Stolz;Musik;4;56;4;0.404963;0.438536;1935.202481;0.255845;40;0.416667;325;;
121;Fritz Fromm;Produzent;4;53;4;0.395519;0.427168;547.426841;0.182566;35;0.470588;280;;
122;Otto Gülstorff;Bauten;4;49;4;0.408597;0.442004;628.495863;0.274317;36;0.401587;253;;
123;Otto Baecker;Kamera;4;57;4;0.36887;0.401252;471.689096;0.158527;36;0.465079;293;;
124;Heinz Rühmann;Darsteller;4;51;4;0.418886;0.453468;808.250191;0.361789;40;0.362821;283;;
125;Félix Oudart;Darsteller;4;52;4;0.386161;0.420906;901.311696;0.26343;42;0.363531;313;;
126;Sepp Rist;Darsteller;4;59;5;0.402326;0.438536;1859.681621;0.235048;39;0.426451;316;;
