Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Falsche Scham,https://www.filmportal.de/film/falsche-scham_3fbc1b35b4624404adf112fb55a8619a,Spielfilm,1926,Deutschland,,,Gustav Hennig,,"Willy Kroschky1. Gymnasiast, Werner Padlowsky2. Gymnasiast, Arthur Kronburger: Vortragender Arzt, Rudolf Biebrach: Sanitätsrat, Eric Cordell: Der Vater, Niuta Helling: Die Mutter, Karin Svedenberg: Amme, Olaf Storm: Student, Richard Wirth: Bauer, Frida Richard: Bäuerin, Erra Bognar: Deren Nichte, Ulrich Bettac: Stadtreisender",,,,"Nicholas Kaufmann, Curt Thomalla",,,,,"Max Brinck, Willibald Gaebel",,,,,,,,,,Universum Film AG (Ufa) - Kulturabteilung (Berlin),,,Rudolf Biebrach,,,,,,,,,,"5 Akte, 2240 m","35mm, 1:1.33","s/w, stumm",,"Zensur (DE): 31.01.1927, O.00062, Genehmigt"
Familie Schimeck (Wiener Herzen),https://www.filmportal.de/film/familie-schimeck-wiener-herzen_687e68f7117a47718b3b3697bc1d99f5,Spielfilm,1926,Deutschland,,,Jacek Rotmil,,"Livio C. Pavanelli: Industrieller 	Franz Kaltenbach, Olga Tschechowa: Franz' Frau Olga, Lydia Potechina: Kaltenbachs Schwiegermutter, Ernst Rückert: Dragoner-Leutnant, Max Hansen: K. K. Kadett, Hans Wallner: K. K. Feldwebel, Paul Morgan: Vormundschaftsrichter, Hermann Picha: Nepomuk Zavadil, Margarete Kupfer: Tischlerswitwe Frau Schimel, Xenia Desni: Lisl, Illo Gutschwager: Willi, Karl Dehnert: Sohn Franzl, Wilhelm Dieterle: Tischlergeselle  		Josef Baumann, Fritz Greiner: Chauffeur",,,,Alfred Halm,,,,,Carl Drews,,,Rudolf Dworsky,,,Felix Bartsch (Kino-Musik),,,,Aafa-Film AG (Berlin),,Rudolf Dworsky,Alfred Halm,,,,,,,,,,"7 Akte, 2352 m, 85 min",35mm,Ton,,"Zensur (DE): 18.03.1926, Jugendverbot"
Faust,https://www.filmportal.de/film/faust_cff7c3b9e2fa42808ca1aa64b803765f,Spielfilm,1926,Deutschland,,,"Robert Herlth, Walter Röhrig, Arno Richter (Assistenz)",,"Gösta Ekman Sr.Faust, Emil Jannings: Mephisto, Camilla Horn: Gretchen, Frida Richard: Gretchens Mutter, Wilhelm Dieterle: Valentin, Yvette Guilbert: Marthe Schwerdtlein, Eric Barclay: Herzog von Parma, Hanna Ralph: Herzogin von Parma, Werner Fuetterer: Erzengel Gabriel, Hans Brausewetter: Bauernbursche, Lothar Müthel: Mönch, Hans Rameau, Hertha von Walther, Emmy Wyda",,,,Hans Kyser,,,,,Carl Hoffmann,"Erich Grohmann, Charles Rosher (Hospitanz)","Robert Herlth, Walter Röhrig, Georges Annenkov (Assistenz)",,,Waldemar Jabs,"Werner Richard Heymann (Bei der Uraufführung), Rolf Unkel (1976. ZDF), Wolfgang Dauner (1976. ZDF), Javier Pérez de Azpeitia (Digitalisierte Fassung (basierend auf Paul Hensel) )",,Artur Guttmann (Ufa-Orchester - Bei der Uraufführung),"Richard Wagner (Motive), Richard Strauß (Motive)",Universum-Film AG (UFA) (Berlin),,Erich Pommer,F. W. Murnau,Hans Rameau,"Robert Basilice, Meyer",,,Hans Natge,,,"Johann Wolfgang von Goethe (Bühnenstück ""Faust""), Christopher Marlowe (Bühnenstück), Ludwig Berger (Manuskript ""Das verlorene Paradies"")",,"7 Akte, 2484 m","35mm, 1:1,33","s/w, stumm","Voraufführung (DE): 26.08.1926, Berlin [Zwischentitel in Versform von Gerhard Hauptmann]",
Fedora (Frauenliebe - Frauenhaß),https://www.filmportal.de/film/fedora-frauenliebe-frauenhass_969822113cfb45cf96481ff205825043,Spielfilm,1926,Deutschland,,,Artur Günther,,"Lee Parry: Fedora, Anita Dorris, Alfons Fryland, Oskar Marion, Maria Forescu, Erich Kaiser-Titz, Nikolai Malikoff, Frida Richard, Eduard von Winterstein",,,,Jean Manoussi,,,,,"Willibald Gaebel, Theodor Sparkuhl, Otto Tober",,,,,,,,,,Maxim-Film Ges. Ebner & Co (Berlin),,,Jean Manoussi,,,,,,,,"Victorien Sardou (Bühnenstück ""Fedora"")",,"6 Akte, 2133 m","35mm, 1:1,33","s/w, ohne Ton",,
Der Feldherrnhügel,https://www.filmportal.de/film/der-feldherrnhuegel_fec578b9246a45b1a45d6c29ce7a6d4e,Spielfilm,1926,Deutschland/Österreich,,,,,"Harry Liedtke: Rittmeister Jennewein, Olga Tschechowa: Gräfin Landieren, Maria Minzenti: Komtesse Lilly, Robert Valberg: Erzherzog, Alexander Roda-Roda: Korpskommandant, Fritz Schrecker: Regimentsarzt, Hansi Niese: Frau Oberst von Leukfeld, Karl Forest: Feldmarschalleutnant, Hans Moser: Regimentsschneider, Hans Marr, Hans Junkermann, Mizzi Zwerenz, Géza L. Weiss, Lupu Pick, Hugo Werner-Kahle",,,,Robert Liebmann,,,,,,,,,,,,,,,Greenbaum-Film Gmb: H (Berlin),,,"Erich Schönfelder, Hans Otto Löwenstein",,,,,,,,"Alexander Roda-Roda (Lustspiel), Carl Rössler (Lustspiel)",,,,,,
Der fesche Erzherzog,https://www.filmportal.de/film/der-fesche-erzherzog_5df3858f09eb46589401d23bed3b2b82,Spielfilm,1926,Deutschland,,,Carl Ludwig Kirmse,,"Liane Haid, Ellen Kürty, Oskar Marion, Hans Mierendorff, Albert Paulig, Fritz Spira, Ernst Winar",,,,Ladislaus Vajda,,,,,Curt Courant,,,,,,,,,,Peter-Ostermayr-Produktion Gmb: H (Berlin),,Peter Ostermayr,Robert Land,,,,,,,,,,,,,,
Fiaker Nr. 13,https://www.filmportal.de/film/fiaker-nr-13_3e2ceaa4b2d9447099e33dc48241ca1a,Spielfilm,1926,Österreich/Deutschland,,,Paul Leni,,"Lily Damita: Lilian, Jack Trevor: François Tapin, Paul Biensfeldt: Jacques Carotin, Kutscher des Fiaker Nr. 13, Carl Ebert: Henry Liradon, ein Millionär, Walter Rilla: Lucien Rebout, Albert Paulig: Tanzmeister, Max Gülstorff: Antiquar, Hermann Picha: Monsieur Coco, ein Wagenwäscher, Valeska Stock: Madame Coco, seine Frau, Sophie Pagay: Linette, eine Wäscherin",,,,Alfred Schirokauer,,,,,"Gustav Ucicky, Eduard von Borsody",,,,,,Willy Schmidt-Gentner (Kino-Musik),,,,"Sascha Film-Industrie AG (Wien), Phoebus-Film AG (Berlin)",,,Mihály Kertész,,,,,,,,,,"6 Akte, 2502 m","35mm, 1:1.33","s/w, stumm","Uraufführung (AT): 05.02.1926, Wien",
Die Flammen lügen,https://www.filmportal.de/film/die-flammen-luegen_5131dd0e1fa54b5790291534b996f079,Spielfilm,1926,Deutschland,,,Franz Schroedter (Gesamtausstattung),,"Henny Porten: Gertrud Birkinger, geborene von Gehr, Hans Adalbert Schlettow: Conrad Birkinger, ihr Mann, Paul Bildt: Major a.D. von Gehr, Ferdinand von Alten: Arken, Birkingers Privatsekretär, Gerd Briese: Hermann von Gehr, Leutnant a.D., Gertruds Bruder, Grete Mosheim, Hubert von Meyerinck, Lo Steinhoff",,,,Friedrich Raff,,,,,Axel Graatkjær,,,,,,,,,,Henny Porten-Froelich Produktion Gmb: H (Berlin),,"Henny Porten, Carl Froelich, Wilhelm von Kaufmann",Carl Froelich,,,Walter Supper,,,,,,,,,,,
Die Flucht in den Zirkus,https://www.filmportal.de/film/die-flucht-in-den-zirkus_c741e02e3da24f269300a127b2e91489,Spielfilm,1926,Deutschland,,,"Karl Görge, August Rinaldi, Andrej Andrejew",,"Marcella Albani, Fritz Kampers, Henry Bender, Eugen Burg, Wilhelm Dieterle, Olga Engl, Karl Harbacher, Leopold von Ledebur, Hans Mierendorff, Hermann Picha, Louis Ralph, Frida Richard, Gerhard Ritterband, Guido Schamberg",,,,"Leo Birinski, Mario Bonnard",,,,,"Theodor Sparkuhl, Mutz Greenbaum",,,,,,,,,,Greenbaum-Film Gmb: H (Berlin),,,"Mario Bonnard, Guido Schamberg",,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
Die Flucht in die Nacht,https://www.filmportal.de/film/die-flucht-in-die-nacht_c31b0d1286374ca3bb4cdf1d3c57ba21,Spielfilm,1926,Deutschland,,,Hermann Warm,,"Conrad Veidt""Heinrich IV."", Gräfin Agnes Esterhazy: Gräfin di Spina, Henriette Fantis: Maria, ihre Tochter, Angelo Ferrari: Graf di Nolli, Robert Scholz: Baron Belcredi, ein Schurke, Hermann Vallentin: Prof. Genoni, Irrenarzt, Paul Biensfeldt: Giovanni, Kammerdiener, Oreste Bilancia: Raso, ein Schauspieler, Hertha von Walther: Kammermädchen, Georg John1. Bediensteter, John Gottowt2. Bediensteter, Karl Geppert3. Bediensteter",,,,"Alfred Schirokauer, Curt Wesse",,,,,"Curt Courant, Arpad Viragh",,,,,,,,,,Nero-Film Gmb: H (Berlin),,,Amleto Palermi,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
